stockid,tsn,scientificname,commonname,areaid,stocklong,region,area_overlap_perc,SSB,SSB_units,TB,TB_units,TC,TC_units,TL,TL_units,assessmethod,biomass,catch,survey_biomass_uncorrected,survey_biomass_corrected
HERRQCI,551209,Clupea pallasii,Pacific herring,Canada-DFO-QCI,Pacific herring Haida Gwaii,Canada West Coast,100,4948.333333,MT,22133.33333,MT,412.6666667,MT,NA,NA,SCA,22133.33333,412.6666667,45.53893124,2276.946562
KELPGREENLINGORECOAST,167110,Hexagrammos decagrammus,Kelp greenling,USA-NMFS-ORECOAST,Kelp greenling Oregon Coast,US West Coast,100,318.8333333,MT,1279.333333,MT,54.5,MT,59.2,MT,SS3,1279.333333,54.5,165.9623028,510.6532395
MONKGOMNGB,164499,Lophius americanus,Monkfish,USA-NMFS-GOMNGB,Monkfish Gulf of Maine / Northern Georges Bank,US East Coast,100,NA,NA,54450,MT,13766.66667,MT,12750,MT,SCALE,54450,13766.66667,1861.065197,5815.828741
NPOUTIIIa-IV,164756,Trisopterus esmarkii,Norway pout,multinational-ICES-IIIa-IV,Norway pout IIIa and North Sea,European Union,100,96600,MT,221800,MT,60773.66667,MT,60773.66667,MT,Unknown,221800,60773.66667,153445.3272,371873.4325
PCODHS,164711,Gadus macrocephalus,Pacific cod,Canada-DFO-HS,Pacific cod Hecate Strait,Canada West Coast,100,NA,NA,7911.666667,MT,458.8333333,MT,370.6,MT,Delay difference,7911.666667,458.8333333,1553.823046,6407.517715
PERCHQCI,166707,Sebastes alutus,Pacific Ocean perch,Canada-DFO-QCI,Pacific Ocean perch Haida Gwaii,Canada West Coast,100,12000,MT,21183.33333,MT,1151,MT,NA,NA,SCA,21183.33333,1151,4.93255819,16.17232194
PLAIC7d,172902,Pleuronectes platessa,European Plaice,multinational-ICES-VIId,European Plaice ICES VIId,European Union,100,13033.33333,MT,7518.333333,MT,NA,MT,4175,MT,Unknown,7518.333333,4175,65.14315531,1527.500073
PLAICCELT,172902,Pleuronectes platessa,European Plaice,multinational-ICES-VIIf-g,European Plaice ICES VIIf-g,European Union,100,NA,relative,1086.5,MT,745.5,MT,594,MT,Unknown,1086.5,745.5,476.5496592,9043.729702
PLAICIS,172902,Pleuronectes platessa,European Plaice,multinational-ICES-VIIa,European Plaice Irish Sea,European Union,100,9201.666667,MT,14900,MT,2548.333333,MT,1406.666667,MT,Unknown,14900,2548.333333,10641.23595,197064.1794
PLAICNS,172902,Pleuronectes platessa,European Plaice,multinational-ICES-IV,European Plaice North Sea,European Union,100,237000,MT,368500,MT,143833.3333,MT,78483.33333,MT,Unknown,368500,143833.3333,13826.77184,291004.2976
SOLECS,173002,Solea solea,Common sole,multinational-ICES-VIIf-g,Common sole Celtic Sea,European Union,100,3035,MT,4866.666667,MT,NA,MT,1280,MT,Unknown,4866.666667,1280,119.7957635,10540.31296
SOLEIIIa-2224,173002,Solea solea,Common sole,multinational-ICES-22-24-IIIa,Common sole 22-24-IIIa,European Union,100,2810,MT,3776.666667,MT,736.1666667,MT,736.1666667,MT,Unknown,3776.666667,736.1666667,264.0850547,23008.58697
SOLEIS,173002,Solea solea,Common sole,multinational-ICES-VIIa,Common sole Irish Sea,European Union,100,2991.666667,MT,3543.333333,MT,NA,MT,922,MT,Unknown,3543.333333,922,137.3139863,12447.17239
SOLENS,173002,Solea solea,Common sole,multinational-ICES-IV,Common sole North Sea,European Union,100,34766.66667,MT,54466.66667,MT,19200,MT,18750,MT,Unknown,54466.66667,19200,252.5764472,23517.05635
SOLEVIId,173002,Solea solea,Common sole,multinational-ICES-VIId,Common sole ICES VIId,European Union,100,16483.33333,MT,21833.33333,MT,5418.333333,MT,5093.333333,MT,Unknown,21833.33333,5418.333333,2.943938467,249.5657362
SPRATNS,161789,Sprattus sprattus,Sprat,multinational-ICES-IV,Sprat North Sea,European Union,100,130933.3333,MT,1353333.333,MT,180666.6667,MT,180666.6667,MT,Unknown,1353333.333,180666.6667,89286.7321,483796.6847
STRMULLIIIa-IV-VIId,169418,Mullus surmuletus,Striped red mullet,multinational-ICES-IIIa-IV-VIId,"Striped red mullet IIIa, VIId and North Sea",European Union,100,3160,MT,NA,NA,NA,NA,3510,MT,Unknown,3160,3510,409.8299487,3238.18774
WHAKE4T,164732,Urophycis tenuis,White hake,Canada-DFO-4T,White hake Southern Gulf of St. Lawrence,Canada East Coast,100,9961.666667,MT,35716.66667,MT,NA,NA,84,MT,SPA,35716.66667,84,1907.497414,3740.191007
WHITVIIa,164758,Merlangius merlangus,Whiting,multinational-ICES-VIIa,Whiting Irish Sea,European Union,100,1181.833333,MT,2386.666667,MT,1425.5,MT,502.8333333,MT,Unknown,2386.666667,1425.5,66125.82264,546715.2515
WINFLOUN4T,172905,Pseudopleuronectes americanus,Winter flounder,Canada-DFO-4T,Winter flounder Southern Gulf of St. Lawrence,Canada East Coast,100,130000,MT,NA,NA,NA,E00,470.3333333,MT,VPA,130000,470.3333333,21815.56853,117921.992
WITFLOUN4RST,172873,Glyptocephalus cynoglossus,Witch flounder,Canada-DFO-4RST,Witch flounder Gulf of St. Lawrence,Canada East Coast,100,7508.333333,MT,NA,NA,NA,NA,860.1666667,MT,BSPM,7508.333333,860.1666667,5460.745406,18830.15657
WITFLOUN5Y,172873,Glyptocephalus cynoglossus,Witch Flounder,USA-NMFS-5Y,Witch Flounder NAFO-5Y,US East Coast,100,5490,MT,NA,NA,3140,MT,2890,MT,VPA,5490,3140,1216.325995,4194.227568
YELLCCODGOM,172909,Limanda ferruginea,Yellowtail flounder,USA-NMFS-CCOD5Y,Yellowtail flounder Cape Cod / Gulf of Maine,US East Coast,100,1362.166667,MT,NA,NA,1921.666667,MT,NA,NA,VPA,1362.166667,1921.666667,508.5048644,2365.138904
HERR4TSP_TFA,161722,Clupea harengus,Herring,Canada-DFO-4T,Herring NAFO 4T fall and spring spawners,Canada East Coast,100,263383.3333,MT,372533.3333,MT,55033.33333,MT,NA,NA,SPA-ADAPT,372533.3333,65620,52094.34461,2604717.231
