stockid,tsn,scientificname,commonname,areaid,stocklong,region,area_overlap_perc,SSB,SSB_units,TB,TB_units,TC,TC_units,TL,TL_units,assessmethod,biomass,catch,survey_biomass_uncorrected,survey_biomass_corrected
DUSROCKGA,644604,Sebastes variabilis,Dusky rockfish,USA-NMFS-GA,Dusky rockfish Gulf of Alaska,US Alaska,30.51185279,25866.66667,MT,86500,MT,2928.333333,MT,NA,NA,Unknown,86500,2928.333333,27035.07989,88639.60619
FLSOLEGA,172875,Hippoglossoides elassodon,Flathead sole,USA-NMFS-GA,Flathead sole Gulf of Alaska,US Alaska,30.51185279,76866.66667,MT,222333.3333,MT,2170,MT,NA,NA,Unknown,222333.3333,2170,31252.71259,115750.7874
NROCKGA,166735,Sebastes polyspinis,Northern rockfish,USA-NMFS-GA,Northern rockfish Gulf of Alaska,US Alaska,30.51185279,55900,MT,147666.6667,MT,4051.666667,MT,NA,NA,Unknown,147666.6667,4051.666667,345122.2587,1131548.389
PCODGA,164711,Gadus macrocephalus,Pacific cod,USA-NMFS-GA,Pacific cod Gulf of Alaska,US Alaska,30.51185279,204833.3333,MT,627500,MT,54900,MT,NA,NA,SS3,627500,54900,48275.71931,199075.1312
POPERCHGA,166707,Sebastes alutus,Pacific ocean perch,USA-NMFS-GA,Pacific ocean perch Gulf of Alaska,US Alaska,30.51185279,108666.6667,MT,345666.6667,MT,11083.33333,MT,NA,NA,Unknown,345666.6667,11083.33333,328000.3506,1075410.986
REXSOLEGA,172978,Glyptocephalus zachirus,Rex sole,USA-NMFS-GA,Rex sole Gulf of Alaska,US Alaska,30.51185279,37216.66667,MT,35000,MT,2766.666667,MT,NA,NA,SS3,35000,2766.666667,27691.66608,95488.50372
SRAKEROCKGA,166712,Sebastes borealis,Shortraker rockfish,USA-NMFS-GA,Shortraker rockfish Gulf of Alaska,US Alaska,30.51185279,NA,NA,34166.66667,MT,1324.166667,MT,NA,NA,Unknown,34166.66667,1324.166667,24303.88251,79684.86067
SSTHORNHGA,166783,Sebastolobus alascanus,Shortspine thornyhead,USA-NMFS-GA,Shortspine thornyhead Gulf of Alaska,US Alaska,30.51185279,NA,NA,89433.33333,MT,974.6666667,MT,NA,NA,Unknown,89433.33333,974.6666667,48947.64097,150608.1261
WPOLLGA,164722,Gadus chalcogrammus,Walleye pollock,USA-NMFS-GA,Walleye pollock Gulf of Alaska,US Alaska,30.51185279,181833.3333,MT,774833.3333,MT,65433.33333,MT,NA,NA,Unknown,774833.3333,65433.33333,46404.03652,191356.8516
COBGM,168566,Rachycentron canadum,Cobia,USA-NMFS-GM,Cobia Gulf of Mexico,US Southeast and Gulf,30.70996284,1995,MT,3015,MT,917,MT,NA,NA,SS3,3015,917,77.87575678,227.7901478
GRAMBERGM,168689,Seriola dumerili,Greater amberjack,USA-NMFS-GM,Greater amberjack Gulf of Mexico,US Southeast and Gulf,30.70996284,1372.833333,MT,3645,MT,1530,MT,NA,NA,SS3,3645,1530,38.59690936,112.8977239
GTRIGGM,173138,Balistes capriscus,Gray triggerfish,USA-NMFS-GM,Gray triggerfish Gulf of Mexico,US Southeast and Gulf,30.70996284,NA,E00eggs,8846.666667,MT,1923.333333,MT,347833.3333,E00,SS3,8846.666667,1923.333333,309.8454529,906.3121109
MENATGM,161734,Brevoortia patronus,Gulf menhaden,USA-NMFS-GM,Gulf menhaden Gulf of Mexico,US Southeast and Gulf,30.70996284,NA,E00eggs,1441666.667,MT,NA,NA,516333.3333,MT,BAM,1441666.667,516333.3333,681.9286544,13638.57309
RSNAPGM,168853,Lutjanus campechanus,Red snapper,USA-NMFS-GM,Red snapper Gulf of Mexico,US Southeast and Gulf,30.70996284,NA,E00eggs,25433.33333,MT,5951.666667,MT,2071.666667,MT,SS3,25433.33333,5951.666667,1119.716375,3275.221571
SPANMACKGM,172436,Scomberomorus maculatus,Spanish mackerel,USA-NMFS-GM,Spanish mackerel Gulf of Mexico,US Southeast and Gulf,30.70996284,10966.66667,MT,17033.33333,MT,NA,NA,532.3333333,MT,SS3,17033.33333,532.3333333,277.4841207,1387.420604
VSNAPGM,168909,Rhomboplites aurorubens,Vermilion snapper,USA-NMFS-GM,Vermilion snapper Gulf of Mexico,US Southeast and Gulf,30.70996284,NA,E00eggs,10021.66667,MT,1485,MT,NA,NA,SS3,10021.66667,1485,251.8296745,774.860537
MUTSNAPSATLCGM,168849,Lutjanus analis,Mutton snapper,USA-NMFS-SATLCGM,Mutton snapper Southern Atlantic coast and Gulf of Mexico,US Southeast and Gulf,33.33468807,2008.333333,MT,4413.333333,MT,326.1666667,MT,NA,NA,ASAP,4413.333333,326.1666667,0.315181815,0.921921213
BLUEROCKCAL,166730,Sebastes mystinus,Blue rockfish,USA-NMFS-CAL,Blue rockfish California,US West Coast,34.27712004,NA,E00larvae,5310,MT,174.5,MT,NA,NA,SS2,5310,174.5,51.27145094,168.1031178
