"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"1","biomass","~","tlw",0,-0.126773935366113,0.12053869159525,-1.05172815208414,0.29292429098234,-0.126773935366113,-0.122666444697377,-0.122666444697377
"2","biomass","~","ER_log",0,-0.362854082360322,0.120055333073268,-3.0223903684385,0.00250786906186296,-0.362854082360322,-0.351688399491424,-0.351688399491424
"3","biomass","~","SST_time",0,-0.552898235269044,0.121588076720742,-4.54730636572955,5.43368733385563e-06,-0.552898235269044,-0.535884546698614,-0.535884546698614
"4","biomass","~","z_prod",0,0.388587350089594,0.121663204009908,3.19395953157659,0.00140335788366808,0.388587350089594,0.376629799152135,0.376629799152135
"5","tlw","~","NPP",0,0.0761878841180303,0.151039666117949,0.504423017318736,0.613964146718637,0.0761878841180303,0.0763161012387464,0.0763161012387464
"6","tlw","~","ER_log",0,0.235596836834218,0.151039679749714,1.55983405966315,0.118799100388152,0.235596836834218,0.235993303092428,0.235993303092428
"7","z_prod","~","NPP",0,1.01622645089761,0.113242647295921,8.97388462000581,0,1.01622645089761,1.01622656533013,1.01622656533013
"8","z_prod","~","SST_time",0,-0.369499929296945,0.113242657516397,-3.26290408050027,0.00110276837285084,-0.369499929296945,-0.369499937556173,-0.369499937556173
"9","NPP","~","SST_time",0,0.639320567018952,0.120088320454444,5.32375308938958,1.01647859240828e-07,0.639320567018952,0.639320509318434,0.639320509318434
"10","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"11","biomass","~~","biomass",0,0.54427229439107,0.120209640139728,4.52769256906871,5.96312513745367e-06,0.54427229439107,0.524073399447857,0.524073399447857
"12","tlw","~~","tlw",0,0.912519469446172,0.2015418351679,4.52769256906871,5.96312513745367e-06,0.912519469446172,0.938483013587243,0.938483013587243
"13","z_prod","~~","z_prod",0,0.303295140748549,0.066986690487895,4.52769256906872,5.96312513745367e-06,0.303295140748549,0.310877507583205,0.310877507583205
"14","NPP","~~","NPP",0,0.576848235851037,0.127404461997226,4.52769256906871,5.96312513745367e-06,0.576848235851037,0.591269286364818,0.591269286364818
"15","ER_log","~~","ER_log",0,0.975609836379527,0.215476166170045,4.52769256906871,5.96312513745367e-06,0.975609836379527,1,1
"16","SST_time","~~","SST_time",0,0.975609836379527,0.215476166170045,4.52769256906871,5.96312513745367e-06,0.975609836379527,1,1
"17","biomass","r2","biomass",0,0.475926600552143,NA,NA,NA,NA,NA,NA
"18","tlw","r2","tlw",0,0.0615169864127572,NA,NA,NA,NA,NA,NA
"19","z_prod","r2","z_prod",0,0.689122492416795,NA,NA,NA,NA,NA,NA
"20","NPP","r2","NPP",0,0.408730713635182,NA,NA,NA,NA,NA,NA
"21","biomass","~","tlw",0,-0.0797785578054556,0.125606865348709,-0.635144883076056,0.525333926587497,-0.0797785578054556,-0.0764912064627467,-0.0764912064627467
"22","biomass","~","ER_log",0,-0.509764332999815,0.125847598626094,-4.05064807405963,5.10759762128998e-05,-0.509764332999815,-0.487522020763777,-0.487522020763777
"23","biomass","~","SST_time",0,-0.584060845798816,0.134097985844254,-4.35547813877803,1.32776768553278e-05,-0.584060845798816,-0.558576788056576,-0.558576788056576
"24","biomass","~","z_prod",0,0.512729451901554,0.134113886655156,3.82308994757512,0.000131789676097949,0.512729451901554,0.490357746691473,0.490357746691473
"25","tlw","~","NPP",0,-0.0396363511063499,0.165385434381262,-0.239660471036261,0.810593481459224,-0.0396363511063499,-0.0395360320500741,-0.0395360320500741
"26","tlw","~","ER_log",0,0.317620700570936,0.165385416003558,1.92048796227657,0.0547962922351264,0.317620700570936,0.316816842176947,0.316816842176947
"27","z_prod","~","NPP",0,0.963351006777924,0.142736205597734,6.7491706308411,1.48692169688047e-11,0.963351006777924,0.963350933731771,0.963350933731771
"28","z_prod","~","SST_time",0,-0.228888403524758,0.142736189736823,-1.60357652776624,0.108807428028315,-0.228888403524758,-0.228888411603463,-0.228888411603463
"29","NPP","~","SST_time",0,0.71052519803281,0.122493502699624,5.80051335273796,6.61122090406252e-09,0.71052519803281,0.710525276986699,0.710525276986699
"30","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"31","biomass","~~","biomass",0,0.455871323349556,0.112227761771637,4.06201920231798,4.8650074185197e-05,0.455871323349556,0.429987518559143,0.429987518559143
"32","tlw","~~","tlw",0,0.875274683403707,0.215477731593251,4.06201920231798,4.8650074185197e-05,0.875274683403707,0.898063990682763,0.898063990682763
"33","z_prod","~~","z_prod",0,0.322818406201319,0.0794723978697844,4.06201920231798,4.8650074185197e-05,0.322818406201319,0.3329065288759,0.3329065288759
"34","NPP","~~","NPP",0,0.480149027928762,0.118204519480057,4.06201920231797,4.8650074185197e-05,0.480149027928762,0.495153830762974,0.495153830762974
"35","ER_log","~~","ER_log",0,0.969696899845605,0.238722874400064,4.06201920231798,4.8650074185197e-05,0.969696899845605,1,1
"36","SST_time","~~","SST_time",0,0.969696899845605,0.238722874400065,4.06201920231797,4.8650074185197e-05,0.969696899845605,1,1
"37","biomass","r2","biomass",0,0.570012481440857,NA,NA,NA,NA,NA,NA
"38","tlw","r2","tlw",0,0.101936009317237,NA,NA,NA,NA,NA,NA
