"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"25","tlw","~","NPP",0,-0.0838424879007989,0.16070970091677,-0.521701474288849,0.601878198033735,-0.0838424879007989,-0.0835353976426823,-0.0835353976426823
"26","tlw","~","ER_log",0,0.211458703582399,0.160709679836438,1.31578075320423,0.18824764104252,0.211458703582399,0.210684220471739,0.210684220471739
"27","z_prod","~","NPP",0,0.992863057178573,0.161762132902916,6.13779652481742,8.36739344478588e-10,0.992863057178573,0.992863215392601,0.992863215392601
"28","z_prod","~","SST_time",0,-0.244407801741755,0.161762111684537,-1.51090882281749,0.130811682664949,-0.244407801741755,-0.2444078727475,-0.2444078727475
"29","NPP","~","SST_time",0,0.802844639072018,0.0980127161045179,8.19122937288961,2.22044604925031e-16,0.802844639072018,0.802844744381364,0.802844744381364
"30","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"31","biomass","~~","biomass",0,0.385771693387291,0.0896900969009544,4.30116263352132,1.69904299476276e-05,0.385771693387291,0.361378282517026,0.361378282517026
"32","tlw","~~","tlw",0,0.929793741742299,0.216172653992645,4.30116263352132,1.69904299476276e-05,0.929793741742299,0.948633996584894,0.948633996584894
"33","z_prod","~~","z_prod",0,0.334828832946664,0.0778461224267967,4.30116263352132,1.69904299476276e-05,0.334828832946664,0.34412979725263,0.34412979725263
"34","NPP","~~","NPP",0,0.345833767399125,0.0804047177160551,4.30116263352131,1.69904299476276e-05,0.345833767399125,0.355440316419223,0.355440316419223
"35","ER_log","~~","ER_log",0,0.972973076350333,0.226211645374072,4.30116263352132,1.69904299476276e-05,0.972973076350333,1,1
"36","SST_time","~~","SST_time",0,0.972973076350333,0.226211645374072,4.30116263352132,1.69904299476276e-05,0.972973076350333,1,1
"37","biomass","r2","biomass",0,0.638621717482974,NA,NA,NA,NA,NA,NA
"38","tlw","r2","tlw",0,0.0513660034151057,NA,NA,NA,NA,NA,NA
"39","z_prod","r2","z_prod",0,0.65587020274737,NA,NA,NA,NA,NA,NA
"40","NPP","r2","NPP",0,0.644559683580777,NA,NA,NA,NA,NA,NA
"41","biomass","~","tlw",0,-0.0731197049952079,0.108271404955513,-0.675337177209917,0.499461569053404,-0.0731197049952079,-0.0742105420332511,-0.0742105420332511
"42","biomass","~","ER_log",0,-0.464932694714373,0.108074539708826,-4.30196321878393,1.6929141851918e-05,-0.464932694714373,-0.472081950133081,-0.472081950133081
"43","biomass","~","SST_time",0,-0.604630840586989,0.131585328076622,-4.59497156274836,4.32808289252407e-06,-0.604630840586989,-0.613928229999537,-0.613928229999537
"44","biomass","~","z_prod",0,0.353062677523388,0.131592020904807,2.68300976834143,0.00729628591413545,0.353062677523388,0.358491702341595,0.358491702341595
"45","tlw","~","NPP",0,0.0577888023623374,0.151148610131262,0.382331020524448,0.702215848225031,0.0577888023623374,0.0578149070143553,0.0578149070143553
"46","tlw","~","ER_log",0,0.115688440488719,0.151148610942999,0.765395326936528,0.444036174794471,0.115688440488719,0.11574069923847,0.11574069923847
"47","z_prod","~","NPP",0,0.955206522537132,0.14359747134935,6.65197314103998,2.89188673008312e-11,0.955206522537132,0.955206551290242,0.955206551290242
"48","z_prod","~","SST_time",0,-0.180064239745732,0.143597472120534,-1.25395132021954,0.20985969977553,-0.180064239745732,-0.180064244198901,-0.180064244198901
"49","NPP","~","SST_time",0,0.793651973919104,0.0927758683333395,8.55450871198045,0,0.793651973919104,0.793651969656831,0.793651969656831
"50","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"51","biomass","~~","biomass",0,0.483974871758031,0.104376705164894,4.63680924774785,3.53828663057776e-06,0.483974871758031,0.510853782594001,0.510853782594001
