"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"20","NPP","r2","NPP",0,0.512028654658068,NA,NA,NA,NA,NA,NA
"21","biomass","~","tlw",0,-0.194951811448729,0.108578199397142,-1.79549681732759,0.0725745793851931,-0.194951811448729,-0.184933992037199,-0.184933992037199
"22","biomass","~","ER_log",0,-0.544196841051693,0.108706925827739,-5.00609171778115,5.55462975837528e-07,-0.544196841051693,-0.515424602228397,-0.515424602228397
"23","biomass","~","SST_time",0,-0.629843885440267,0.11977100146506,-5.25873439927784,1.45050211397546e-07,-0.629843885440267,-0.596543400530693,-0.596543400530693
"24","biomass","~","z_prod",0,0.483020187952449,0.119769665935281,4.03290920268121,5.5090569569094e-05,0.483020187952449,0.457482586838761,0.457482586838761
"25","tlw","~","NPP",0,-0.0304878817876412,0.16862396165095,-0.180803970498278,0.856521446469436,-0.0304878817876412,-0.0304401670111798,-0.0304401670111798
"26","tlw","~","ER_log",0,0.188283240289238,0.168624008518661,1.11658619637429,0.264171296345108,0.188283240289238,0.187988517101372,0.187988517101372
"27","z_prod","~","NPP",0,1.05616068297394,0.164445877678137,6.42254277143462,1.34016575614737e-10,1.05616068297394,1.05616059323479,1.05616059323479
"28","z_prod","~","SST_time",0,-0.371525142336174,0.164445923384582,-2.25925419547985,0.0238675773745749,-0.371525142336174,-0.371525007506208,-0.371525007506208
"29","NPP","~","SST_time",0,0.780645081294072,0.107182336798751,7.28333701811183,3.25739435425021e-13,0.780645081294072,0.780644864319942,0.780644864319942
"30","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"31","biomass","~~","biomass",0,0.376175457282781,0.0912359496554081,4.12310562561764,3.73798184016838e-05,0.376175457282781,0.347675321732558,0.347675321732558
"32","tlw","~~","tlw",0,0.938323479146933,0.227576871501168,4.12310562561766,3.73798184016838e-05,0.938323479146933,0.963733713670359,0.963733713670359
"33","z_prod","~~","z_prod",0,0.348566067872099,0.0845396891378139,4.12310562561778,3.73798184016838e-05,0.348566067872099,0.359128559643473,0.359128559643473
"34","NPP","~~","NPP",0,0.379105607269951,0.091946615413995,4.12310562561771,3.73798184016838e-05,0.379105607269951,0.390593595810899,0.390593595810899
"35","ER_log","~~","ER_log",0,0.97058784526182,0.235402129703243,4.12310562561766,3.73798184016838e-05,0.97058784526182,1,1
"36","SST_time","~~","SST_time",0,0.970587845261821,0.235402129703244,4.12310562561765,3.73798184016838e-05,0.970587845261821,1,1
"37","biomass","r2","biomass",0,0.652324678267442,NA,NA,NA,NA,NA,NA
"38","tlw","r2","tlw",0,0.0362662863296415,NA,NA,NA,NA,NA,NA
"39","z_prod","r2","z_prod",0,0.640871440356527,NA,NA,NA,NA,NA,NA
"40","NPP","r2","NPP",0,0.609406404189101,NA,NA,NA,NA,NA,NA
"41","biomass","~","tlw",0,-0.0655421980584643,0.113391655478071,-0.578016061077259,0.563253275787096,-0.0655421980584643,-0.0668270969943952,-0.0668270969943952
"42","biomass","~","ER_log",0,-0.487179048019972,0.113089086663681,-4.30792273943115,1.64794924495393e-05,-0.487179048019972,-0.4971380108677,-0.4971380108677
"43","biomass","~","SST_time",0,-0.515519144929693,0.128945603852673,-3.99795828261583,6.38912079125031e-05,-0.515519144929693,-0.526057438874216,-0.526057438874216
"44","biomass","~","z_prod",0,0.309285688449467,0.128949565702512,2.39850120288883,0.0164623224200997,0.309285688449467,0.315608186678706,0.315608186678706
"45","tlw","~","NPP",0,0.0670828533027172,0.156595859825405,0.428382036265265,0.668373001019284,0.0670828533027172,0.0671379902175408,0.0671379902175408
"46","tlw","~","ER_log",0,0.113875104996878,0.156595872627725,0.727190973082621,0.467108975250366,0.113875104996878,0.113968692204621,0.113968692204621
"47","z_prod","~","NPP",0,1.02186587218854,0.147780198321536,6.91476858059961,4.68625138694279e-12,1.02186587218854,1.02186579630815,1.02186579630815
