"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"35","ER_log","~~","ER_log",0,0.972972565429299,0.226211526587345,4.30116263352131,1.69904299476276e-05,0.972972565429299,1,1
"36","T_time","~~","T_time",0,0.9729725654293,0.226211526587345,4.30116263352131,1.69904299476276e-05,0.9729725654293,1,1
"37","biomass","r2","biomass",0,0.613318308540153,NA,NA,NA,NA,NA,NA
"38","tlw","r2","tlw",0,0.0513659508134697,NA,NA,NA,NA,NA,NA
"39","z_prod","r2","z_prod",0,0.666327228489564,NA,NA,NA,NA,NA,NA
"40","NPP","r2","NPP",0,0.527049696914288,NA,NA,NA,NA,NA,NA
"41","biomass","~","tlw",0,-0.0428243388051836,0.111428703283574,-0.384320534505372,0.700740890159813,-0.0428243388051836,-0.0437386360341158,-0.0437386360341158
"42","biomass","~","ER_log",0,-0.458968354651765,0.111233699940315,-4.12616279866654,3.68866195723516e-05,-0.458968354651765,-0.468979119183859,-0.468979119183859
"43","biomass","~","T_time",0,-0.514255118878685,0.122541933352249,-4.19656443154402,2.70994392135293e-05,-0.514255118878685,-0.525471767809579,-0.525471767809579
"44","biomass","~","z_prod",0,0.223771122888794,0.122588742483551,1.82538068631236,0.067943601771119,0.223771122888794,0.228651899065916,0.228651899065916
"45","tlw","~","NPP",0,0.0577888122872528,0.151148589994894,0.38233113712278,0.702215761750054,0.0577888122872528,0.0578149243778241,0.0578149243778241
"46","tlw","~","ER_log",0,0.115688455296115,0.151148589455036,0.765395533714395,0.444036051701655,0.115688455296115,0.115740729969925,0.115740729969925
"47","z_prod","~","NPP",0,0.932951711305004,0.114968282872982,8.11486166437516,4.44089209850063e-16,0.932951711305004,0.932951692049763,0.932951692049763
"48","z_prod","~","T_time",0,-0.182979876455026,0.114968282462349,-1.59156832246277,0.111481732505691,-0.182979876455026,-0.182979873332046,-0.182979873332046
"49","NPP","~","T_time",0,0.659381114387092,0.114649773967689,5.75126397172767,8.85786821669399e-09,0.659381114387092,0.65938111674221,0.65938111674221
"50","ER_log","~~","T_time",0,0,0,NA,NA,0,0,0
"51","biomass","~~","biomass",0,0.512683846377289,0.110568241862937,4.63680924774785,3.53828663057776e-06,0.512683846377289,0.54803754176354,0.54803754176354
"52","tlw","~~","tlw",0,0.959527675341239,0.206937060394989,4.63680924774785,3.53828663057776e-06,0.959527675341239,0.983261517945215,0.983261517945215
"53","z_prod","~~","z_prod",0,0.313776388009403,0.0676707561696241,4.63680924774785,3.53828663057776e-06,0.313776388009403,0.321247230239628,0.321247230239628
"54","NPP","~~","NPP",0,0.552071990834626,0.119062907559282,4.63680924774786,3.53828663057776e-06,0.552071990834626,0.565216542883796,0.565216542883796
"55","ER_log","~~","ER_log",0,0.976744226136016,0.210650077229386,4.63680924774785,3.53828663057776e-06,0.976744226136016,1,1
"56","T_time","~~","T_time",0,0.976744226136016,0.210650077229386,4.63680924774785,3.53828663057776e-06,0.976744226136016,1,1
"57","biomass","r2","biomass",0,0.45196245823646,NA,NA,NA,NA,NA,NA
"58","tlw","r2","tlw",0,0.0167384820547846,NA,NA,NA,NA,NA,NA
"59","z_prod","r2","z_prod",0,0.678752769760372,NA,NA,NA,NA,NA,NA
"60","NPP","r2","NPP",0,0.434783457116204,NA,NA,NA,NA,NA,NA
"61","biomass","~","tlw",0,-0.31232674321584,0.124079021821212,-2.51715994075032,0.0118305110997796,-0.31232674321584,-0.312448909670909,-0.312448909670909
"62","biomass","~","ER_log",0,-0.525058302370131,0.118789516739117,-4.42007272008062,9.86676927516861e-06,-0.525058302370131,-0.518513954161248,-0.518513954161248
"63","biomass","~","T_time",0,-0.633437841563692,0.110908798736782,-5.71133984659791,1.12090152715183e-08,-0.633437841563692,-0.625542646334585,-0.625542646334585
"64","biomass","~","z_prod",0,0.0960475809815401,0.112849077903413,0.851115337103125,0.394705286501521,0.0960475809815401,0.0948504434319365,0.0948504434319365
"65","tlw","~","NPP",0,-0.376188499671891,0.125245319969239,-3.00361322693963,0.00266794253753,-0.376188499671891,-0.371354422720759,-0.371354422720759
"66","tlw","~","ER_log",0,-0.441004929858908,0.125245322341485,-3.52112894608945,0.000429713600630377,-0.441004929858908,-0.435337944104307,-0.435337944104307
"67","z_prod","~","NPP",0,0.984336077703331,0.112958906305759,8.71410772196146,0,0.984336077703331,0.984336060670347,0.984336060670347
"68","z_prod","~","T_time",0,-0.365547705222276,0.112958908445291,-3.23611223101825,0.00121169732925042,-0.365547705222276,-0.365547691973061,-0.365547691973061
"69","NPP","~","T_time",0,0.62139653648728,0.118116504728018,5.26087812975962,1.43369039751207e-07,0.62139653648728,0.621396524717532,0.621396524717532
"70","ER_log","~~","T_time",0,0,0,NA,NA,0,0,0
