"Family","Genus","Species","lme","fao","Subspecies"
"Soleidae",NA,"","22",27,""
"Stichaeidae","Leptoclinus","maculatus","22",27,""
"Caproidae","Capros","aper","22",27,""
"Rajidae","Leucoraja","circularis","22",27,""
"Belonidae","Belone","belone","22",27,""
"Moronidae","Dicentrarchus","labrax","22",27,""
"Sparidae","Pagellus","erythrinus","22",27,""
"Soleidae","Buglossidium","","22",27,""
"Ammodytidae","Gymnammodytes","semisquamatus","22",27,""
"Petromyzontidae","Lampetra","fluviatilis","22",27,""
"Sparidae","Spondyliosoma","cantharus","22",27,""
"Scorpaenidae","Scorpaena","scrofa","22",27,""
"Soleidae","Microchirus","","22",27,""
"Scophthalmidae","Zeugopterus","","22",27,""
"Mugilidae",NA,"","22",27,""
"Gobiesocidae","Lepadogaster","","22",27,""
"Syngnathidae","Nerophis","","22",27,""
"Caproidae",NA,"","22",27,""
"Mugilidae","Chelon","labrosus","22",27,""
"Pentanchidae","Galeus","melastomus","22",27,""
"Labridae","Labrus","bergylta","22",27,""
"Lophiidae","Lophius","budegassa","22",27,""
"Argentinidae",NA,"","22",27,""
"Moronidae","Dicentrarchus","","22",27,""
"Mugilidae","Chelon","auratus","22",27,""
"Bothidae","Arnoglossus","imperialis","22",27,""
"Macrouridae","Trachyrincus","murrayi","22",27,""
"Ammodytidae","Hyperoplus","immaculatus","22",27,""
"Blenniidae","Blennius","","22",27,""
"Soleidae","Pegusa","lascaris","22",27,""
"Gobiidae","Lesueurigobius","","22",27,""
"Gasterosteidae","Spinachia","spinachia","22",27,""
"Rajidae","Leucoraja","lentiginosa","22",27,""
"Bothidae","Arnoglossus","","22",27,""
"Ammodytidae","Hyperoplus","","22",27,""
"Gobiidae","Lesueurigobius","friesii","22",27,""
"Gadidae","Merlangius","merlangus","24",27,""
"Clupeidae","Sprattus","sprattus","24",27,""
"Pleuronectidae","Platichthys","flesus","24",27,""
"Clupeidae","Clupea","harengus","24",27,""
"Gadidae","Gadus","morhua","24",27,""
"Pleuronectidae","Pleuronectes","platessa","24",27,""
"Gadidae","Pollachius","virens","24",27,""
"Cottidae","Taurulus","bubalis","24",27,""
"Moronidae","Dicentrarchus","labrax","24",27,""
"Pleuronectidae","Microstomus","kitt","24",27,""
"Agonidae","Agonus","cataphractus","24",27,""
"Rajidae","Raja","clavata","24",27,""
"Pleuronectidae","Limanda","limanda","24",27,""
"Cottidae","Artediellus","atlanticus","22",27,""
"Labridae","Symphodus","melops","22",27,""
"Labridae","Ctenolabrus","rupestris","22",27,""
"Salmonidae","Salmo","","22",27,""
"Cottidae","Micrenophrys","lilljeborgii","22",27,""
"Zoarcidae",NA,"","22",27,""
"Somniosidae","Somniosus","microcephalus","22",27,""
"Agonidae","Leptagonus","decagonus","22",27,""
"Scombridae","Thunnus","thynnus","22",27,""
"Petromyzontidae","Petromyzon","","22",27,""
"Atherinidae","Atherina","presbyter","22",27,""
"Triglidae","Chelidonichthys","lastoviza","22",27,""
"Sparidae","Sparus","aurata","22",27,""
"Mullidae","Mullus","barbatus barbatus","22",27,"barbatus"
"Mugilidae","Mugil","cephalus","22",27,""
"Pleuronectidae","Platichthys","flesus","23",27,""
"Clupeidae","Clupea","harengus","23",27,""
"Pleuronectidae","Microstomus","kitt","23",27,""
"Gadidae","Gadus","morhua","23",27,""
"Scophthalmidae","Scophthalmus","maximus","23",27,""
"Pleuronectidae","Pleuronectes","platessa","23",27,""
"Gadidae","Merlangius","merlangus","23",27,""
"Rajidae","Amblyraja","radiata","23",27,""
"Gadidae","Melanogrammus","aeglefinus","23",27,""
"Clupeidae","Sprattus","sprattus","23",27,""
"Petromyzontidae","Petromyzon","marinus","23",27,""
"Pleuronectidae","Hippoglossoides","platessoides","23",27,""
"Pleuronectidae","Limanda","limanda","23",27,""
"Cyclopteridae","Cyclopterus","lumpus","23",27,""
"Scombridae","Scomber","scombrus","23",27,""
"Engraulidae","Engraulis","encrasicolus","23",27,""
"Carangidae","Trachurus","trachurus","23",27,""
"Anguillidae","Anguilla","anguilla","23",27,""
"Clupeidae","Sardina","pilchardus","23",27,""
"Callionymidae","Callionymus","","23",27,""
"Triglidae","Eutrigla","","22",27,""
"Trachinidae","Echiichthys","","22",27,""
"Triglidae","Trigla","","22",27,""
"Triglidae","Chelidonichthys","","22",27,""
"Rajidae","Dipturus","oxyrinchus","22",27,""
"Zeidae",NA,"","22",27,""
"Zoarcidae","Lycodes","gracilis","22",27,""
"Paralepididae","Arctozenus","risso","22",27,""
"Gobiesocidae",NA,"","22",27,""
"Gasterosteidae","Gasterosteus","aculeatus williamsoni","22",27,"williamsoni"
"Blenniidae",NA,"","22",27,""
"Lotidae","Gaidropsarus","macrophthalmus","22",27,""
"Arhynchobatidae","Bathyraja","brachyurops","22",27,""
"Scophthalmidae","Lepidorhombus","boscii","22",27,""
"Mugilidae","Chelon","","22",27,""
"Bramidae","Brama","brama","22",27,""
"Gobiidae","Pomatoschistus","lozanoi","22",27,""
"Merlucciidae","Merluccius","merluccius","23",27,""
"Labridae","Ctenolabrus","rupestris","23",27,""
"Ammodytidae","Hyperoplus","lanceolatus","23",27,""
"Soleidae","Solea","solea","23",27,""
"Triglidae","Eutrigla","gurnardus","23",27,""
"Scophthalmidae","Scophthalmus","rhombus","23",27,""
"Bothidae","Arnoglossus","laterna","23",27,""
"Lotidae","Enchelyopus","cimbrius","23",27,""
"Gobiidae","Gobius","","23",27,""
"Syngnathidae","Syngnathus","","23",27,""
