Family,Genus,Species,lme,fao,Subspecies
Gadidae,Boreogadus,saida,21,27,
Gadidae,Gadiculus,argenteus,20,27,
Gadidae,Gadiculus,argenteus,22,27,
Gadidae,Gadiculus,argenteus,21,27,
Gadidae,Gadus,chalcogrammus,20,27,
Gadidae,Gadus,morhua,20,27,
Gadidae,Gadus,morhua,22,27,
Gadidae,Gadus,morhua,21,27,
Gadidae,Melanogrammus,aeglefinus,22,27,
Gadidae,Melanogrammus,aeglefinus,20,27,
Gadidae,Melanogrammus,aeglefinus,21,27,
Gadidae,Merlangius,merlangus,22,27,
Gadidae,Merlangius,merlangus,20,27,
Gadidae,Merlangius,merlangus,21,27,
Gadidae,Micromesistius,poutassou,20,27,
Gadidae,Micromesistius,poutassou,22,27,
Gadidae,Micromesistius,poutassou,21,27,
Gadidae,NA,,20,27,
Gadidae,Pollachius,pollachius,22,27,
Gadidae,Pollachius,pollachius,21,27,
Gadidae,Pollachius,pollachius,20,27,
Gadidae,Pollachius,virens,22,27,
Gadidae,Pollachius,virens,20,27,
Gadidae,Pollachius,virens,21,27,
Gadidae,Raniceps,raninus,22,27,
Gadidae,Raniceps,raninus,20,27,
Gadidae,Trisopterus,esmarkii,20,27,
Gadidae,Trisopterus,esmarkii,22,27,
Gadidae,Trisopterus,esmarkii,21,27,
Gadidae,Trisopterus,luscus,22,27,
Gadidae,Trisopterus,luscus,21,27,
Gadidae,Trisopterus,minutus,22,27,
Gadidae,Trisopterus,minutus,21,27,
Gadidae,Trisopterus,minutus,20,27,
Gasterosteidae,Gasterosteus,aculeatus,20,27,
Gasterosteidae,Gasterosteus,aculeatus,22,27,
Gasterosteidae,NA,,20,27,
Gasterosteidae,Pungitius,pungitius,20,27,
Gobiidae,Aphia,minuta,22,27,
Gobiidae,Crystallogobius,linearis,22,27,
Gobiidae,Gobiusculus,flavescens,22,27,
Gobiidae,Lesueurigobius,suerii,22,27,
Gobiidae,Lesueurigobius,suerii,20,27,
Gobiidae,Lesueurigobius,suerii,21,27,
Gobiidae,NA,,22,27,
Gobiidae,NA,,21,27,
Gobiidae,NA,,20,27,
Gobiidae,Pomatoschistus,minutus,22,27,
Gobiidae,Pomatoschistus,norvegicus,22,27,
Labridae,Labrus,bergylta,22,27,
Lamnidae,Lamna,nasus,22,27,
Liparidae,Careproctus,micropus,20,27,
Liparidae,Careproctus,micropus,21,27,
Liparidae,Careproctus,ranula,20,27,
Liparidae,Careproctus,reinhardti,20,27,
Liparidae,Careproctus,reinhardti,21,27,
Liparidae,Careproctus,reinhardti,22,27,
Liparidae,Careproctus,,20,27,
Liparidae,Careproctus,,21,27,
Liparidae,Careproctus,,22,27,
Liparidae,Liparis,bathyarcticus,20,27,
Liparidae,Liparis,fabricii,20,27,
Liparidae,Liparis,fabricii,22,27,
Liparidae,Liparis,fabricii,21,27,
Liparidae,Liparis,liparis,20,27,
Liparidae,Liparis,liparis,22,27,
Liparidae,Liparis,liparis,21,27,
Liparidae,Liparis,montagui,20,27,
Liparidae,Liparis,tunicatus,20,27,
Liparidae,NA,,20,27,
Liparidae,NA,,21,27,
Liparidae,Paraliparis,bathybius,20,27,
Liparidae,Paraliparis,bathybius,21,27,
Liparidae,Rhodichthys,regina,20,27,
Liparidae,Rhodichthys,regina,21,27,
Lophiidae,Lophius,budegassa,22,27,
Lophiidae,Lophius,piscatorius,22,27,
Lophiidae,Lophius,piscatorius,21,27,
Lophiidae,Lophius,piscatorius,20,27,
Lophiidae,NA,,22,27,
