family,genus,species,lme,fao,level,FB_E_Code,source,type.length,taxo,b,a
Lotidae,Enchelyopus,cimbrius,21,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Leucoraja,circularis,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Leucoraja,circularis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Leucoraja,circularis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Raja,clavata,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Raja,clavata,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Raja,clavata,21,27,species,NA,fb,TL,spe-LME,3,0.01
Congridae,Conger,conger,22,27,species,NA,fb,TL,spe-LME,3,0.01
Paralepididae,Paralepis,coregonoides,22,27,species,NA,fb,TL,spe-LME,3,0.01
Paralepididae,Paralepis,coregonoides,20,27,species,NA,fb,TL,spe-LME,3,0.01
Myctophidae,Lampanyctus,crocodilus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Triglidae,Chelidonichthys,cuculus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Glyptocephalus,cynoglossus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Glyptocephalus,cynoglossus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Glyptocephalus,cynoglossus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Helicolenus,dactylopterus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Helicolenus,dactylopterus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Helicolenus,dactylopterus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Agonidae,Leptagonus,decagonus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Agonidae,Leptagonus,decagonus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Agonidae,Leptagonus,decagonus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,Anarhichas,denticulatus,20,27,species,NA,fb,TL,spe-LME,3,0.01
