family,genus,species,lme,fao,level,FB_E_Code,source,type.length,taxo,b,a
Cottidae,Triglops,pingelii,21,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Triglops,pingelii,22,27,species,NA,fb,TL,spe-LME,3,0.01
Lophiidae,Lophius,piscatorius,22,27,species,NA,fb,TL,spe-LME,3,0.01
Lophiidae,Lophius,piscatorius,21,27,species,NA,fb,TL,spe-LME,3,0.01
Lophiidae,Lophius,piscatorius,20,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Pleuronectes,platessa,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Pleuronectes,platessa,20,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Pleuronectes,platessa,21,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Hippoglossoides,platessoides,20,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Hippoglossoides,platessoides,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Hippoglossoides,platessoides,21,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Pollachius,pollachius,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Pollachius,pollachius,21,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Pollachius,pollachius,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Micromesistius,poutassou,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Micromesistius,poutassou,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Micromesistius,poutassou,21,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Zeugopterus,punctatus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Zeugopterus,punctatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gasterosteidae,Pungitius,pungitius,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Myoxocephalus,quadricornis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Myoxocephalus,quadricornis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Amblyraja,radiata,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Amblyraja,radiata,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Amblyraja,radiata,21,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Raniceps,raninus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Raniceps,raninus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Careproctus,ranula,20,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Rhodichthys,regina,20,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Rhodichthys,regina,21,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Careproctus,reinhardti,20,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Careproctus,reinhardti,21,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Careproctus,reinhardti,22,27,species,NA,fb,TL,spe-LME,3,0.01
Callionymidae,Callionymus,reticulatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Callionymidae,Callionymus,reticulatus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,reticulatus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,reticulatus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,reticulatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Gymnelus,retrodorsalis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Scophthalmus,rhombus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Paralepididae,Arctozenus,risso,20,27,species,NA,fb,TL,spe-LME,3,0.01
Paralepididae,Arctozenus,risso,21,27,species,NA,fb,TL,spe-LME,3,0.01
Paralepididae,Arctozenus,risso,22,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,rossi,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,rossi,21,27,species,NA,fb,TL,spe-LME,3,0.01
Macrouridae,Coryphaenoides,rupestris,22,27,species,NA,fb,TL,spe-LME,3,0.01
Macrouridae,Coryphaenoides,rupestris,20,27,species,NA,fb,TL,spe-LME,3,0.01
Macrouridae,Coryphaenoides,rupestris,21,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Boreogadus,saida,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Boreogadus,saida,21,27,species,NA,fb,TL,spe-LME,3,0.01
Salmonidae,Salmo,salar,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycenchelys,sarsii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycenchelys,sarsii,22,27,species,NA,fb,TL,spe-LME,3,0.01
Centriscidae,Macroramphosus,scolopax,22,27,species,NA,fb,TL,spe-LME,3,0.01
Scombridae,Scomber,scombrus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Scombridae,Scomber,scombrus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Scombridae,Scomber,scombrus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Myoxocephalus,scorpius,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Myoxocephalus,scorpius,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Myoxocephalus,scorpius,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,seminudus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,seminudus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Ciliata,septentrionalis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Argentinidae,Argentina,silus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Argentinidae,Argentina,silus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Argentinidae,Argentina,silus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Soleidae,Solea,solea,22,27,species,NA,fb,TL,spe-LME,3,0.01
Argentinidae,Argentina,sphyraena,22,27,species,NA,fb,TL,spe-LME,3,0.01
Argentinidae,Argentina,sphyraena,21,27,species,NA,fb,TL,spe-LME,3,0.01
Argentinidae,Argentina,sphyraena,20,27,species,NA,fb,TL,spe-LME,3,0.01
Etmopteridae,Etmopterus,spinax,22,27,species,NA,fb,TL,spe-LME,3,0.01
Etmopteridae,Etmopterus,spinax,21,27,species,NA,fb,TL,spe-LME,3,0.01
Etmopteridae,Etmopterus,spinax,20,27,species,NA,fb,TL,spe-LME,3,0.01
Arhynchobatidae,Bathyraja,spinicauda,20,27,species,NA,fb,TL,spe-LME,3,0.01
Arhynchobatidae,Bathyraja,spinicauda,21,27,species,NA,fb,TL,spe-LME,3,0.01
Arhynchobatidae,Bathyraja,spinicauda,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cyclopteridae,Eumicrotremus,spinosus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cyclopteridae,Eumicrotremus,spinosus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cyclopteridae,Eumicrotremus,spinosus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Sprattus,sprattus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Sprattus,sprattus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Sprattus,sprattus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,squamiventer,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,squamiventer,21,27,species,NA,fb,TL,spe-LME,3,0.01
Centrophoridae,Centrophorus,squamosus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Scyliorhinidae,Scyliorhinus,stellaris,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gobiidae,Lesueurigobius,suerii,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gobiidae,Lesueurigobius,suerii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gobiidae,Lesueurigobius,suerii,21,27,species,NA,fb,TL,spe-LME,3,0.01
Mullidae,Mullus,surmuletus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,Ammodytes,tobianus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,Ammodytes,tobianus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Carangidae,Trachurus,trachurus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Carangidae,Trachurus,trachurus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Carangidae,Trachurus,trachurus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Gymnocanthus,tricuspis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Gymnocanthus,tricuspis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Liparis,tunicatus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,vahlii,22,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,vahlii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Soleidae,Microchirus,variegatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Osmeridae,Mallotus,villosus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Osmeridae,Mallotus,villosus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Trachinidae,Echiichthys,vipera,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Pollachius,virens,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Pollachius,virens,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Pollachius,virens,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Gymnelus,viridis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,viviparus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,viviparus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,viviparus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Zoarces,viviparus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Zoarces,viviparus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Gaidropsarus,vulgaris,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Gaidropsarus,vulgaris,21,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Gaidropsarus,vulgaris,22,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Lepidorhombus,whiffiagonis,22,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Lepidorhombus,whiffiagonis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Lepidorhombus,whiffiagonis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,Ammodytes,,22,27,genus,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,Ammodytes,,20,27,genus,NA,fb,TL,spe-LME,3,0.01
Argentinidae,Argentina,,22,27,genus,NA,fb,TL,spe-LME,3,0.01
Callionymidae,Callionymus,,22,27,genus,NA,fb,TL,spe-LME,3,0.01
Liparidae,Careproctus,,20,27,genus,NA,fb,TL,spe-LME,3,0.01
Liparidae,Careproctus,,21,27,genus,NA,fb,TL,spe-LME,3,0.01
Liparidae,Careproctus,,22,27,genus,NA,fb,TL,spe-LME,3,0.01
Lotidae,Gaidropsarus,,20,27,genus,NA,fb,TL,spe-LME,3,0.01
Lotidae,Gaidropsarus,,21,27,genus,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycenchelys,,20,27,genus,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,,20,27,genus,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,,21,27,genus,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,,22,27,genus,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Argentinidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Argentinidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Bothidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Callionymidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Callionymidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Callionymidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Carapidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Carapidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Cottidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Cottidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Cottidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Cyclopteridae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Cyclopteridae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Gadidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Gasterosteidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Gobiidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Gobiidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Gobiidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Liparidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Liparidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Lophiidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Myctophidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Myctophidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Myctophidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Nemichthyidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Paralepididae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Paralepididae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Paralepididae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Petromyzontidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Rajidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Rajidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Rajidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Scorpaenidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Scorpaenidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Scorpaenidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Scyliorhinidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Sternoptychidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Synaphobranchidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Syngnathidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Syngnathidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Triglidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Triglidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,NA,,22,27,family,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,NA,,20,27,family,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,NA,,21,27,family,NA,fb,TL,spe-LME,3,0.01
Rajidae,Raja,,20,27,genus,NA,fb,TL,spe-LME,3,0.01
Rajidae,Raja,,22,27,genus,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Scophthalmus,,22,27,genus,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Scophthalmus,,20,27,genus,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,,20,27,genus,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,,21,27,genus,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,,22,27,genus,NA,fb,TL,spe-LME,3,0.01
Syngnathidae,Syngnathus,,22,27,genus,NA,fb,TL,spe-LME,3,0.01
Syngnathidae,Syngnathus,,20,27,genus,NA,fb,TL,spe-LME,3,0.01
Cottidae,Triglops,,20,27,genus,NA,fb,TL,spe-LME,3,0.01
Cottidae,Triglops,,21,27,genus,NA,fb,TL,spe-LME,3,0.01
Cottidae,Triglops,,22,27,genus,NA,fb,TL,spe-LME,3,0.01
